id,site_id,site_code,meeting_person_type,meeting_person_phone,contractor_name,contractor_phone,engineer_name,engineer_phone,engg_reg_star_stellar,site_segment,project_segment,type_of_construction,site_potential,construction_stage,cement_brand,price_per_bag,consumed_till_date,estimated_req,built_up_area,decision_maker,product_demo,remarks,visit_type,visit_sub_type,date_of_delivery,bags_ordered,rssd,approved_by,visited_by,is_sent,created_at,updated_at,visit_id,route_code,cust_phone,cust_name,address,site_name,branch_code,state,district,latitude,longitude
5,5,9088978867-2,"Petty Contractor",9865328956,hi,7845127845,tester,1245781245,YES,Trade,"Business Center","Brick Work, Repairing",563,Finishing,"Double Bull Master",565,865,896,15326,"Petty Contractor","Not Required",testing,"Non Star Site",yes,2025-07-05,568,C/0177916,E1033,E1033,0,"2025-07-03 06:24:51","2025-07-03 06:24:51",9,RT/10321,9088978867,Rocky,kolkata,test1,B0040,"West Bengal","Dakshin Dinajpur",24.5726,98.3639
8,8,9088978869-1,IHB,9876543210,"Rakesh Kumar",9988776644,"Amit Verma",9112233445,Yes,Trade,Commercial,"Ground Floor",5000,"Eathwork (CC Road)",Konark,395,200,500,1500,IHB,"Not Required","Client interested in further discussions","Star Site","Upgrade to Premium",2025-07-05,1000,C/0189497,E0556,E1033,0,"2025-07-03 11:26:52","2025-07-03 11:26:52",18,RT/10321,9088978869,"ABC Enterprise","1234, ExampleABC Street, City","Site A",B0070,"West Bengal",Maldah,24.5726,98.3639
8,8,9088978869-1,IHB,9876543210,"Rakesh Kumar",9988776644,"Amit Verma",9112233445,Yes,Trade,Commercial,"Ground Floor",5000,"Eathwork (CC Road)",Konark,395,200,500,1500,IHB,"Not Required","Client interested in further discussions","Star Site","Upgrade to Premium",2025-07-05,1000,C/0189497,E0556,E1033,0,"2025-07-03 11:26:52","2025-07-03 11:26:52",19,RT/10321,9088978869,"ABC Enterprise","1234, ExampleABC Street, City","Site A",B0070,"West Bengal",Maldah,24.5726,98.3639
6,6,9088978867-3,IHB,9639639639,hvb,9639639635,yyrt,9639639638,YES,Trade,"Bridge, Fly Over, Highway","Brick Work, Repairing",885,"Brick work","Dalmia DSP",5685,585,885,555,"Petty Contractor",No,bbg,"Non Star Site",yes,2025-07-17,588,C/0177923,E0927,E1033,0,"2025-07-03 07:06:21","2025-07-03 07:06:21",21,RT/10321,9088978867,testqqqq,kolkatattttttt,"test w",B0040,Assam,Barpeta,22.5214898,88.3484784
10,10,9101919212-1,IHB,9007856356,,,,,,Trade,"Institutional Establishment",G+4,675,Plinth,"Ramco EFC",,,50,565,Mason,Yes,,"Non Star Site",yes,,,,,E0555,0,"2025-07-03 13:58:38","2025-07-03 13:58:38",22,RT/10009,9101919212,test,hshah,Antara,B0024,Sikkim,"West District",22.5145552,88.3106454
11,11,9433303762-1,IHB,9433303762,,,,,,Trade,"Bridge, Fly Over, Highway","Assam Type House",23,"Eathwork (CC Road)","MP Birla Ultra",,,200,2000,,,,"Non Star Site",yes,,,,,E0555,0,"2025-07-03 14:07:24","2025-07-03 14:07:24",23,RT/1,9433303762,test,test,test,B0018,"West Bengal",Hugli,22.514593,88.31065
6,6,9088978867-3,IHB,9639639639,hvb,9639639635,yyrt,9639639638,YES,Trade,"Bridge, Fly Over, Highway","Brick Work, Repairing",885,"Brick work",jjjjj,5685,585,885,555,"Petty Contractor",No,bbg,"Star Site","Upgrade to Premium",2025-07-17,588,C/0177923,E0927,E1033,0,"2025-07-03 07:06:21","2025-07-03 07:06:21",24,RT/10321,9088978867,testqqqq,kolkatattttttt,"test w",B0040,Assam,Barpeta,22.5214898,88.3484784
12,12,9433303762-2,Mason,9830098300,,,,,,Trade,"Bridge, Fly Over, Highway","Assam Type House",10,"Brick work","ACC F2R",12,12,9,12,Engineer,Yes,,"Non Star Site",yes,,,,,E0555,0,"2025-07-04 07:49:08","2025-07-04 07:49:08",25,RT/10,9433303762,test2,twdt,behalasite,B0018,Assam,Barpeta,22.5214898,88.3484784
4,4,9088978867-1,IHB,9876543210,"Rakesh Kumar",9988776644,"Amit Verma",9112233445,Yes,Trade,Commercial,"Ground Floor",5000,"Eathwork (CC Road)",Konark,395,200,500,1500,IHB,"Not Required","Client interested in further discussions","Star Site","Upgrade to Premium",2025-07-05,100,C/0189497,E0556,E1138,0,"2025-07-02 09:45:53","2025-07-02 09:45:53",26,RT/10321,9088978867,"ABC Enterprise","1234, ExampleABC Street, City","Site B",B0070,"West Bengal",Maldah,24.5726,98.3639
13,13,9088978867-4,Engineer,9876543210,gbh,8528528521,hhhh,9638520852,No,Non-Trade,Commercial,"Brick Work, Repairing",258,Excavation,"Double Bull Master",147,852,147,8520,"Petty Contractor","Not Required",gggg,"Star Site","Retention Site",2025-07-10,852,C/0189494,E0282,E0777,0,"2025-07-07 13:40:16","2025-07-07 13:40:16",27,RT/10321,9088978867,ttt,hhh,gggg,B0070,Bihar,Sheohar,22.58009118496567,88.4357436594294
